Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
InEight UX-UI Designer Salaries,4/Aug/2020,"$58,013 - $63,948",/yr,(USD),"UX-UI Designer salaries at InEight can range from $58,013-$63,948. This estimate is based upon 1 InEight UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,401K Plan,Vacation & Paid Time Off,Paid Holidays"
Gameloft UX-UI Designer Salaries,6/Jan/2021,"$9,402 - $10,072",/yr,(USD),"UX-UI Designer salaries at Gameloft can range from $9,402-$10,072. This estimate is based upon 1 Gameloft UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Vision Insurance,401K Plan,Performance Bonus,Vacation & Paid Time Off,Sick Days,Paid Holidays,Employee Discount,Free Lunch or Snacks,Gym Membership,Commuter Checks & Assistance,Professional Development"
ExxonMobil UX-UI Designer Salaries,18/Jun/2020,"$100,066 - $109,681",/yr,(USD),"UX-UI Designer salaries at ExxonMobil can range from $100,066-$109,681. This estimate is based upon 1 ExxonMobil UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,Occupational Accident Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,Pension Plan,401K Plan,Retirement Plan,Maternity & Paternity Leave,Work From Home,Dependent Care,Adoption Assistance,Childcare,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Employee Assistance Program,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development,Apprenticeship Program,Tuition Assistance"
Vodafone UX-UI Designer Salaries,14/Jan/2021,"$68,135 - $73,053",/yr,(USD),"UX-UI Designer salaries at Vodafone can range from $68,135-$73,053. This estimate is based upon 1 Vodafone UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.",
Insight Global UX-UI Designer Salaries,14/Jan/2021,"$122,561 - $130,793",/yr,(USD),"UX-UI Designer salaries at Insight Global can range from $122,561-$130,793. This estimate is based upon 1 Insight Global UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,401K Plan,Equity Incentive Plan,Maternity & Paternity Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Free Lunch or Snacks,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development"
Ingersoll Rand UX-UI Designer Hourly Pay,6/Aug/2020,$19 - $21,/hr,(USD),UX-UI Designer salaries at Ingersoll Rand can range from $19-$21. This estimate is based upon 1 Ingersoll Rand UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.,"Health Insurance,Dental Insurance,401K Plan,Maternity & Paternity Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays"
Belk UX-UI Designer Hourly Pay,25/Jan/2021,$24 - $25,/hr,(USD),UX-UI Designer salaries at Belk can range from $24-$25. This estimate is based upon 1 Belk UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.,
City National Bank UX-UI Designer Hourly Pay,23/Feb/2021,$55 - $60,/hr,(USD),UX-UI Designer salaries at City National Bank can range from $55-$60. This estimate is based upon 1 City National Bank UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.,"Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),401K Plan,Retirement Plan,Performance Bonus,Maternity & Paternity Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Diversity Program"
Samsung Research America UX-UI Designer Hourly Pay,2/Feb/2021,$64 - $70,/hr,(USD),UX-UI Designer salaries at Samsung Research America can range from $64-$70. This estimate is based upon 1 Samsung Research America UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.,"Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Fertility Assistance,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Commuter Checks & Assistance,Company Social Events,Job Training,Professional Development,Tuition Assistance"
Chegg UX-UI Designer Hourly Pay,5/Feb/2021,$29 - $31,/hr,(USD),UX-UI Designer salaries at Chegg can range from $29-$31. This estimate is based upon 1 Chegg UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.,"Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,401K Plan,Employee Stock Purchase Plan,Maternity & Paternity Leave,Work From Home,Reduced or Flexible Hours,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Employee Discount,Free Lunch or Snacks,Commuter Checks & Assistance,Diversity Program,Professional Development,Tuition Assistance"
Gaia UX-UI Designer Salaries,4/Feb/2021,"$85,699 - $92,501",/yr,(USD),"UX-UI Designer salaries at Gaia can range from $85,699-$92,501. This estimate is based upon 1 Gaia UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Health Care On-Site,401K Plan,Maternity & Paternity Leave,Vacation & Paid Time Off,Paid Holidays,Gym Membership"
Clevertech UX-UI Designer Salaries,4/Feb/2021,"$71,836 - $78,267",/yr,(USD),"UX-UI Designer salaries at Clevertech can range from $71,836-$78,267. This estimate is based upon 1 Clevertech UX-UI Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UX-UI Designer salaries to learn how this stacks up in the market.",Work From Home
Philadelphia Gas Works UI/UX Designer Salaries,30/Mar/2020,"$74,329 - $80,015",/yr,(USD),"UI/UX Designer salaries at Philadelphia Gas Works can range from $74,329-$80,015. This estimate is based upon 1 Philadelphia Gas Works UI/UX Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UI/UX Designer salaries to learn how this stacks up in the market.",
Cushman & Wakefield UI/UX Designer Salaries,3/Apr/2020,"$156,780 - $169,948",/yr,(USD),"UI/UX Designer salaries at Cushman & Wakefield can range from $156,780-$169,948. This estimate is based upon 1 Cushman & Wakefield UI/UX Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UI/UX Designer salaries to learn how this stacks up in the market.",
Whole Foods Market UI/UX Designer Salaries,3/Apr/2020,"$67,651 - $73,958",/yr,(USD),"UI/UX Designer salaries at Whole Foods Market can range from $67,650-$73,958. This estimate is based upon 1 Whole Foods Market UI/UX Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UI/UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Vacation & Paid Time Off,Paid Holidays,Employee Discount,Employee Assistance Program,Company Social Events,Job Training"
WeGoLook UI/UX Designer Salaries,13/Nov/2018,"$49,940 - $54,600",/yr,(USD),"UI/UX Designer salaries at WeGoLook can range from $49,940-$54,600. This estimate is based upon 1 WeGoLook UI/UX Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UI/UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Vision Insurance,Vacation & Paid Time Off,Gym Membership,Company Social Events"
MotionPoint UI/UX Designer Salaries,10/Mar/2020,"$89,148 - $95,698",/yr,(USD),"UI/UX Designer salaries at MotionPoint can range from $89,148-$95,698. This estimate is based upon 1 MotionPoint UI/UX Designer salary report(s) provided by employees or estimated based upon statistical methods. See all UI/UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Vision Insurance,Life Insurance,401K Plan,Vacation & Paid Time Off,Paid Holidays"
