Job_name,last_update,job_salary,rate,currency,salary_info,Benefits
Guidewire UX Designer Salaries,20/Jul/2020,"$112,990",/yr,(USD),"The typical Guidewire UX Designer salary is $112,990. UX Designer salaries at Guidewire can range from $87,162 - $149,205. This estimate is based upon 7 Guidewire UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Guidewire can expect to make an average total pay of $112,990 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Performance Bonus,Maternity & Paternity Leave,Work From Home,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Employee Discount,Free Lunch or Snacks,Job Training,Professional Development"
Nutanix UX Designer Salaries,3/Apr/2020,"$134,132",/yr,(USD),"The typical Nutanix UX Designer salary is $134,132. UX Designer salaries at Nutanix can range from $134,132 - $134,132. This estimate is based upon 8 Nutanix UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Nutanix can expect to make an average total pay of $134,132 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Life Insurance,Supplemental Life Insurance,Disability Insurance,401K Plan,Employee Stock Purchase Plan,Stock Options,Equity Incentive Plan,Maternity & Paternity Leave,Work From Home,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Free Lunch or Snacks,Employee Assistance Program,Mobile Phone Discount,Company Social Events,Diversity Program,Job Training,Professional Development"
Microsoft UX Designer Salaries,12/Jan/2021,"$120,043",/yr,(USD),"The typical Microsoft UX Designer salary is $120,043. UX Designer salaries at Microsoft can range from $87,578 - $143,327. This estimate is based upon 9 Microsoft UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Microsoft can expect to make an average total pay of $120,043 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Occupational Accident Insurance,Health Care On-Site,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Stock Options,Equity Incentive Plan,Supplemental Workers' Compensation,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Fertility Assistance,Dependent Care,Adoption Assistance,Childcare,Reduced or Flexible Hours,Military Leave,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Employee Assistance Program,Gym Membership,Commuter Checks & Assistance,Mobile Phone Discount,Company Social Events,Travel Concierge,Legal Assistance,Diversity Program,Job Training,Professional Development,Tuition Assistance"
Roblox UX Designer Salaries,15/Apr/2020,"$139,705",/yr,(USD),"The typical Roblox UX Designer salary is $139,705. UX Designer salaries at Roblox can range from $98,311 - $156,586. This estimate is based upon 9 Roblox UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Roblox can expect to make an average total pay of $139,705 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),401K Plan,Work From Home,Reduced or Flexible Hours,Vacation & Paid Time Off,Sick Days,Paid Holidays,Free Lunch or Snacks,Company Social Events"
Populus Group UX Designer Hourly Pay,15/Apr/2020,$49,/hr,(USD),"The typical Populus Group UX Designer salary is $49. UX Designer salaries at Populus Group can range from $37 - $57. This estimate is based upon 10 Populus Group UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Populus Group can expect to make an average total pay of $49 . See all UX Designer salaries to learn how this stacks up in the market.",
Oracle UX Designer Salaries,7/Dec/2020,"$102,204",/yr,(USD),"The typical Oracle UX Designer salary is $102,204. UX Designer salaries at Oracle can range from $96,819 - $118,176. This estimate is based upon 10 Oracle UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at Oracle can expect to make an average total pay of $102,204 . See all UX Designer salaries to learn how this stacks up in the market.",
ServiceNow UX Designer Salaries,8/Jan/2021,"$107,078",/yr,(USD),"The typical ServiceNow UX Designer salary is $107,078. UX Designer salaries at ServiceNow can range from $85,495 - $115,928. This estimate is based upon 63 ServiceNow UX Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UX Designer at ServiceNow can expect to make an average total pay of $107,078 . See all UX Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Mental Health Care,Accidental Death & Dismemberment Insurance,401K Plan,Employee Stock Purchase Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Employee Discount,Free Lunch or Snacks,Employee Assistance Program,Company Social Events,Job Training,Professional Development"
Wayfair UI Designer Salaries,3/Apr/2020,"$58,352",/yr,(USD),"The typical Wayfair UI Designer salary is $58,352. UI Designer salaries at Wayfair can range from $48,582 - $75,745. This estimate is based upon 4 Wayfair UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at Wayfair can expect to make an average total pay of $59,974 . See all UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Performance Bonus,Stock Options,Equity Incentive Plan,Maternity & Paternity Leave,Work From Home,Family Medical Leave,Unpaid Extended Leave,Vacation & Paid Time Off,Sick Days,Paid Holidays,Volunteer Time Off,Bereavement Leave,Employee Discount,Free Lunch or Snacks,Gym Membership,Commuter Checks & Assistance,Company Social Events,Legal Assistance,Job Training,Professional Development,Tuition Assistance"
FindLaw UI Designer Hourly Pay,14/Jan/2021,$39,/hr,(USD),"The typical FindLaw UI Designer salary is $39. UI Designer salaries at FindLaw can range from $27 - $41. This estimate is based upon 4 FindLaw UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at FindLaw can expect to make an average total pay of $39 . See all UI Designer salaries to learn how this stacks up in the market.","Health Insurance,401K Plan,Maternity & Paternity Leave,Work From Home,Vacation & Paid Time Off,Sick Days"
NortonLifeLock UI Designer Salaries,3/Feb/2020,"$99,452",/yr,(USD),"The typical NortonLifeLock UI Designer salary is $99,452. UI Designer salaries at NortonLifeLock can range from $91,116 - $118,222. This estimate is based upon 4 NortonLifeLock UI Designer salary report(s) provided by employees or estimated based upon statistical methods. When factoring in bonuses and additional compensation, a UI Designer at NortonLifeLock can expect to make an average total pay of $99,452 . See all UI Designer salaries to learn how this stacks up in the market.","Health Insurance,Dental Insurance,Flexible Spending Account (FSA),Vision Insurance,Health Savings Account (HSA),Life Insurance,Supplemental Life Insurance,Disability Insurance,Accidental Death & Dismemberment Insurance,401K Plan,Retirement Plan,Employee Stock Purchase Plan,Performance Bonus,Charitable Gift Matching,Maternity & Paternity Leave,Work From Home,Vacation & Paid Time Off,Paid Holidays,Bereavement Leave,Employee Discount,Employee Assistance Program,Diversity Program,Job Training,Professional Development,Tuition Assistance"
